"","mRNA_wt_rep1","mRNA_wt_rep2","mRNA_mt_rep1","mRNA_mt_rep2","Ribo_wt_rep1","Ribo_wt_rep2","Ribo_mt_rep1","Ribo_mt_rep2","gene_length"
"YPL156C",131,116,153,112,254,233,186,192,795
"YPL155C",495,330,248,280,725,631,300,291,2061
"YPL154C",9592,6866,4925,4402,32364,30642,12184,12653,1158
"YPL153C",380,286,132,78,534,456,63,45,2406
"YPL151C",304,231,187,165,326,341,140,126,1296
"YPL148C",365,220,258,197,298,324,319,366,462
"YPL146C",484,484,496,312,1800,1740,655,581,1308
"YPL145C",3774,2545,2193,1357,7524,7340,2343,2270,1245
"YPL141C",823,473,364,304,708,720,308,223,2538
"YPL140C",534,399,413,329,768,811,378,431,1461
"YPL139C",458,350,285,241,1166,1170,364,354,1323
"YPL138C",407,274,310,262,492,480,257,269,1002
"YPL137C",2311,1527,1405,1141,1804,1735,393,265,3771
"YPL135C-A",30,33,42,44,32,23,52,71,114
"YPL134C",254,194,138,129,544,435,152,115,873
"YPL133C",455,280,228,210,443,437,169,191,1281
"YPL128C",718,453,327,293,1054,948,246,271,1629
"YPL127C",634,513,273,182,4653,4260,965,930,717
"YPL123C",1157,994,782,700,2470,2619,813,1126,1245
"YPL122C",591,400,411,276,595,579,267,208,1482
"YPL119C-A",96,88,53,28,0,1,1,11,204
"YPL119C",198,162,82,87,600,540,97,164,1794
"YPL117C",1524,1128,1392,947,5567,5328,2066,2004,807
"YPL115C",1728,1033,618,503,1071,1121,146,124,3327
"YPL113C",64,50,20,20,129,141,33,44,1131
"YPL112C",957,649,715,468,1798,1501,704,620,1125
"YPL110C",1043,839,674,689,1801,1808,480,463,3612
"YPL109C",527,364,343,280,434,438,184,224,2066
"YPL106C",30104,21271,2249,1942,142570,138124,4664,3367,2022
"YPL105C",1323,917,857,735,2010,1888,846,708,2490
"YPL103C",571,409,252,203,778,798,271,273,1347
"YPL102C",18,14,6,6,1,1,2,4,243
"YPL099C",269,232,164,94,739,707,217,233,489
"YPL098C",498,378,232,141,2505,2181,799,698,282
"YPL096C-A",150,94,89,67,404,363,208,256,147
"YPL095C",282,197,240,132,404,312,181,243,1311
"YPL094C",1744,1208,788,475,5209,4746,1226,1334,765
"YPL090C",14390,10167,12319,9223,72084,56846,32253,24505,1045
"YPL089C",946,708,894,974,1087,1243,1144,1256,1971
"YPL086C",882,602,522,324,1684,1563,557,456,1614
"YPL083C",564,341,222,197,594,596,220,220,1344
"YPL082C",3887,2451,2306,1637,1415,1228,418,317,5544
"YPL078C",2496,1754,1529,1077,6580,6217,1964,1819,675
"YPL077C",173,128,133,123,427,448,183,188,663
"YPL071C",196,145,158,99,396,394,208,195,411
"YPL069C",325,189,178,127,303,276,130,127,948
"YPL068C",153,115,143,104,220,206,104,85,822
"YPL067C",48,29,57,63,312,264,122,127,537
"YPL064C",264,233,221,199,372,406,174,206,846
"YPL058C",1788,1204,1412,1074,556,534,143,96,4476
"YPL057C",1442,864,532,317,1334,1421,466,461,1089
"YPL056C",91,93,63,74,14,24,20,33,246
"YPL055C",438,309,206,205,2079,1967,609,655,939
"YPL053C",1026,872,855,640,1900,1775,761,740,1281
"YPL050C",1728,1191,947,648,3133,2847,1389,1169,1128
"YPL049C",654,408,540,582,2525,2240,1320,1508,1299
"YPL046C",146,140,126,105,540,458,263,311,240
"YPL042C",620,464,325,357,567,568,286,307,1608
"YPL041C",166,127,96,59,416,349,203,192,564
"YPL040C",663,412,327,232,642,579,107,100,2949
"YPL037C",4031,2845,2280,1740,26440,21779,7231,6257,414
"YPL033C",32,33,12,11,33,38,9,6,786
"YPL032C",2070,1263,817,577,2971,2769,695,503,2418
