"","mRNA_wt_rep1","mRNA_wt_rep2","mRNA_mt_rep1","mRNA_mt_rep2","Ribo_wt_rep1","Ribo_wt_rep2","Ribo_mt_rep1","Ribo_mt_rep2","gene_length"
"YER018C",286,147,142,100,654,496,200,120,606
"YER019C-A",817,550,639,441,4263,3661,2165,2014,207
"YER023C-A",0,0,1,0,0,0,0,1,153
"YER026C",2212,1651,1473,1057,5772,5702,1870,2185,771
"YER027C",1191,779,331,367,5160,4890,946,1086,1194
"YER028C",177,113,98,54,323,285,90,87,1125
"YER029C",206,201,161,195,1003,1056,465,532,531
"YER031C",978,750,557,440,3071,2771,1028,915,612
"YER033C",926,611,463,517,858,919,210,258,3171
"YER036C",4974,3160,2163,1642,12791,11228,3857,3161,1773
"YER038C",330,234,189,144,149,146,114,83,1335
"YER039C",214,109,122,68,6,8,7,11,690
"YER043C",13564,8251,3442,2464,41368,32679,6309,4213,1290
"YER044C",711,542,599,440,2036,2196,1057,1547,387
"YER044C-A",118,84,153,114,18,35,52,48,1255
"YER045C",292,227,310,288,587,593,231,278,1410
"YER047C",482,372,367,290,648,711,256,242,2634
"YER048C",1109,925,506,474,6862,6573,1371,1379,1116
"YER050C",372,303,293,206,2304,2358,708,681,357
"YER052C",2425,1531,809,579,7503,6677,1082,908,1524
"YER053C",595,479,543,723,1384,1622,745,1129,843
"YER053C-A",2716,2289,4458,3243,4605,5085,5336,9471,54
"YER054C",248,240,134,283,533,620,122,332,1587
"YER055C",1941,1284,923,595,4780,4036,1481,1155,834
"YER056C",2848,2021,2452,1300,3481,2961,1362,884,1542
"YER056C-A",5092,3123,4009,2885,27696,25017,17595,16495,703
"YER057C",983,500,540,414,5042,4442,1921,1670,330
"YER061C",564,367,349,347,822,817,451,469,1269
"YER062C",2428,1600,894,797,10273,9908,2276,2374,693
"YER064C",1934,1453,1081,827,2488,2709,1179,920,1458
"YER065C",200,123,71,62,52,52,21,31,1614
"YER071C",376,266,301,185,790,825,346,318,321
"YER075C",964,627,459,327,898,906,333,254,2727
"YER076C",149,115,101,105,147,156,37,35,849
"YER077C",597,455,528,398,867,799,362,334,2007
"YER078C",437,308,164,141,764,743,162,200,1476
"YER082C",672,438,402,336,1698,1690,708,608,1605
"YER083C",556,365,326,291,3376,3077,1038,1034,798
"YER085C",1,4,8,3,6,8,1,13,462
"YER087C-B",726,613,270,165,3567,3254,980,1022,189
"YER088C",687,457,380,406,2141,1953,831,883,1953
"YER088C-A",153,127,110,87,208,226,43,47,264
"YER089C",1458,1005,588,533,3361,3159,853,925,1335
"YER091C",8243,5388,5123,3852,19071,17080,6696,5225,2244
"YER093C",918,606,509,454,662,627,238,166,4233
"YER093C-A",200,89,76,55,529,492,157,159,429
"YER094C",1424,1179,733,553,6447,6186,1499,1412,558
"YER099C",565,471,473,427,1471,1434,722,787,897
"YER101C",361,236,282,244,1231,1205,658,753,1233
"YER105C",3126,1995,1385,1080,2352,2281,613,488,4116
"YER107C",782,502,429,373,1721,1653,576,532,1038
"YER109C",634,416,214,165,1257,1169,223,175,2340
"YER110C",4326,2249,1739,1251,8642,6108,1926,1175,3282
"YER111C",1643,1080,821,578,2186,2333,583,537,3222
"YER113C",1473,952,688,518,972,928,369,371,2061
"YER114C",1154,782,598,544,2274,2115,448,407,3063
"YER115C",346,214,226,190,226,257,121,169,516
"YER116C",314,240,166,201,702,720,389,487,765
"YER118C",843,566,384,237,1352,1309,452,347,1044
"YER119C",975,669,516,506,2657,2571,798,864,1287
"YER122C",2342,1824,1018,826,8268,7664,1602,1504,1422
"YER124C",5727,4344,8307,5834,7762,9007,7367,8173,1662
"YER126C",677,479,581,331,2237,2099,834,632,726
"YER130C",982,755,647,556,1115,1148,381,425,1272
"YER132C",1540,912,859,699,582,542,166,124,5202
"YER134C",479,344,430,358,1640,1729,1027,1232,477
"YER137C",118,72,79,66,216,184,99,91,387
"YER139C",357,301,313,207,601,504,224,254,621
"YER142C",293,248,63,53,699,849,70,84,831
"YER144C",893,569,451,459,548,543,217,205,2358
"YER145C",4325,3030,3042,2540,11808,10331,7148,6855,1155
"YER147C",313,241,174,152,485,407,201,198,1815
"YER149C",427,276,186,144,731,594,179,166,1203
"YER151C",1566,1216,629,542,3436,3349,607,598,2679
"YER152C",1051,735,612,530,1593,1410,546,591,1272
"YER155C",6553,4282,3030,2202,3626,3311,702,564,6444
"YER156C",963,528,282,175,3569,3007,590,453,957
"YER158C",691,504,365,319,1269,1225,249,227,1662
"YER159C",496,398,624,576,1974,2202,1255,1629,369
"YER161C",431,322,217,155,1414,1588,329,364,942
"YER162C",346,291,335,345,585,696,421,531,2205
"YER163C",675,372,309,283,1794,1552,503,540,639
"YER168C",872,646,613,416,1488,1454,572,492,1581
"YER172C",2651,1810,1624,1182,1655,1503,375,342,6432
"YER174C",370,198,262,152,590,517,158,89,675
"YER175C",416,310,329,307,1076,1107,523,579,840
"YER180C",245,162,112,138,0,1,1,5,744
"YER180C-A",83,114,67,88,336,263,141,182,198
"YER181C",16,14,27,10,1,5,6,3,264
"YER183C",362,238,205,120,990,992,416,397,576
"YER184C",398,285,267,256,64,57,14,18,2325
"YER186C",380,257,378,285,22,21,55,70,861
"YER188C-A",13,6,6,5,9,6,2,3,240
"YEL072W",262,175,255,181,84,69,85,81,636
"YEL071W",6150,5025,5481,4329,12850,14270,6176,5533,1431
"YEL070W",71,48,21,21,180,184,17,30,1449
"YEL066W",401,315,225,180,2358,2101,773,610,480
"YEL065W",2932,2034,2239,1703,4839,4905,1952,1787,1827
"YEL062W",670,469,526,417,811,702,340,430,1788
"YEL058W",1403,897,724,652,3037,2565,707,662,1614
"YEL056W",524,380,305,233,908,820,378,331,1146
"YEL052W",663,393,327,238,1420,1134,371,422,1470
"YEL051W",1915,1352,1021,788,5979,5390,2383,2021,711
"YEL049W",84,46,37,35,36,37,20,35,303
"YEL044W",182,158,134,112,967,859,256,268,441
"YEL043W",902,566,416,370,790,795,317,269,2811
"YEL042W",1578,950,541,374,2702,2151,597,418,1497
"YEL041W",462,313,275,217,493,562,233,272,1428
"YEL040W",2846,1857,1034,620,6288,5698,954,668,1344
"YEL038W",472,284,291,259,1750,1652,755,772,624
"YEL034W",17448,11841,7308,5544,75808,66445,19141,14760,414
"YEL033W",3169,1917,1340,586,21,26,32,25,360
"YEL032W",1638,1139,858,650,2483,2196,794,513,2856
"YEL031W",9518,6148,1667,1127,13018,11529,1283,913,3588
"YEL030W",241,144,164,150,181,239,118,143,1875
"YEL028W",224,153,193,135,23,38,49,38,402
"YEL027W",6144,4077,4377,2465,20406,14620,10137,9086,423
"YEL026W",2319,1285,1395,728,7867,6265,4163,3000,321
"YEL024W",2185,1546,2096,1392,5919,5285,2885,2963,588
"YEL022W",2430,1657,1090,810,1753,1680,285,199,4320
"YEL021W",493,306,347,249,1799,1725,1120,1387,744
"YEL020W-A",776,560,433,323,4211,4031,1220,1156,204
"YEL018W",218,209,148,121,503,479,157,188,780
"YEL017W",680,393,307,234,2011,1674,486,434,954
"YEL015W",1039,770,692,581,2257,2113,956,909,1596
"YEL013W",3750,2968,2517,1715,4740,4945,1947,1963,1677
"YEL012W",337,328,167,219,1566,1610,472,596,720
"YEL011W",751,537,306,594,1664,1964,314,766,2055
"YEL008W",9,10,4,4,1,1,3,3,321
"YEL007W",2059,1292,1203,986,3208,2942,1087,915,1941
"YEL006W",619,480,427,269,419,368,180,208,948
"YEL004W",482,293,326,172,549,596,201,170,969
"YEL003W",333,296,214,132,957,935,226,214,364
"YER001W",2123,1348,581,299,3668,3086,440,259,2229
"YER002W",336,319,309,254,2082,2152,909,820,636
"YER004W",1138,900,335,229,3673,3652,628,474,636
"YER005W",744,447,426,334,468,453,243,267,1833
"YER006W",1020,641,642,455,2535,2261,1111,817,1503
"YER007W",311,230,268,187,286,282,159,160,1497
"YER009W",2696,1663,1380,762,10740,9551,2945,2357,318
"YER011W",64,31,15,10,345,282,58,98,705
"YER012W",1685,1325,629,440,4750,4734,1095,1060,537
"YER013W",798,655,395,363,1105,1058,294,253,3378
"YER014W",640,484,353,329,1309,1268,419,494,1560
"YER015W",167,115,111,83,151,117,90,93,2175
"YER016W",305,244,212,167,663,660,358,288,975
"YER019W",566,318,302,269,965,884,428,369,1374
"YER020W",827,558,448,499,1699,1659,678,848,1290
"YER021W",3741,2818,1461,1084,6472,6509,1389,1279,1512
"YER022W",690,483,544,429,1216,1185,459,460,2004
"YER023W",1815,1190,657,481,7031,5941,1610,1275,801
"YER024W",446,298,365,329,171,243,146,162,2712
"YER025W",3160,2293,1803,1257,9798,8917,2444,1680,1524
"YER030W",303,295,219,179,2650,2666,692,758,402
"YER032W",617,377,251,208,855,765,241,181,2571
"YER034W",245,165,137,156,1175,1018,529,675,498
"YER035W",662,524,419,530,5563,5283,1904,2897,378
"YER037W",1326,915,1655,1647,3158,3405,2179,3351,906
"YER038W-A",28,16,20,12,11,19,10,11,321
"YER040W",919,615,478,410,1051,1165,461,442,2133
"YER041W",513,351,331,330,336,330,249,303,2220
"YER042W",139,120,72,50,664,603,101,114,495
"YER046W",177,123,213,159,321,325,252,287,372
"YER048W-A",989,689,784,500,2527,2576,1225,1223,225
"YER049W",2076,1435,1333,742,3552,3128,1027,774,1875
"YER051W",356,282,322,212,443,432,179,223,1419
"YER058W",161,134,53,51,821,1050,185,241,264
"YER059W",484,308,278,234,1455,1428,407,566,1203
"YER060W",427,290,101,76,425,432,81,58,1527
"YER060W-A",187,171,152,86,294,271,104,71,1533
"YER063W",644,477,322,305,3136,3097,1064,964,597
"YER066W",279,183,269,218,116,99,96,163,498
"YER067W",569,649,218,367,3097,4713,399,1111,426
"YER068W",920,739,482,458,3799,4326,898,897,1704
"YER069W",3005,1963,1490,1171,6893,5956,1510,1309,2532
"YER070W",7089,3618,1540,913,8640,6373,1248,690,2607
"YER072W",1267,737,604,368,5288,4796,1344,1154,330
"YER073W",912,548,327,242,1229,902,142,116,1503
"YER074W",6198,4467,5442,3956,46207,38031,23464,19791,814
"YER074W-A",381,278,307,235,1535,1315,960,928,411
"YER076W-A",5,4,3,3,11,15,7,7,288
"YER079W",348,249,251,237,1940,2013,672,951,573
"YER080W",1715,1335,783,668,5147,5186,1266,1167,1824
"YER081W",1775,1190,2479,2082,1522,1682,1130,1604,1350
"YER084W",17,12,7,14,54,68,38,57,327
"YER086W",2123,1333,881,690,5003,3750,1127,808,1671
"YER087W",583,441,294,300,1181,1243,271,310,1671
"YER088W-B",94,63,34,13,29,14,8,10,87
"YER090W",1809,1237,774,647,6750,6102,1504,1402,1464
"YER092W",425,368,394,358,1384,1345,756,774,318
"YER095W",1132,781,574,481,3410,2826,1261,1043,1143
"YER096W",404,333,374,381,831,863,464,578,1479
"YER098W",390,293,166,180,283,281,83,67,2205
"YER100W",757,588,397,352,4184,4188,1339,1297,693
"YER102W",16117,10000,12044,8653,65400,50789,27527,21356,543
"YER103W",22129,23291,848,943,170308,210810,899,1157,1869
"YER104W",279,159,121,111,535,395,160,212,567
"YER106W",21,32,12,3,43,42,10,10,849
"YER112W",463,449,398,290,2303,2554,721,775,504
"YER117W",7510,5175,5861,3756,30803,22154,14950,12432,825
"YER120W",1600,1072,819,651,11985,10632,4088,3548,675
"YER121W",43,45,42,46,179,192,90,108,285
"YER123W",858,711,713,438,1037,1082,399,398,1515
"YER125W",4039,2829,2068,1645,8337,7801,1115,752,2370
"YER127W",445,398,281,185,1342,1153,395,315,1014
"YER128W",163,126,128,128,556,636,349,372,552
"YER129W",1086,766,541,506,503,461,95,81,3369
"YER131W",3408,2255,2791,1928,18205,16477,7938,6807,300
"YER133W",3251,2603,2420,1735,8498,8012,2755,2888,1404
"YER136W",3525,2660,1959,1439,7786,7919,1867,1888,1296
"YER138W-A",2980,3174,1004,650,310,440,125,107,45
"YER140W",591,311,359,233,353,370,174,135,1611
"YER141W",1774,1226,948,874,4950,4709,1545,1547,1401
"YER143W",731,541,245,256,3686,3895,555,654,1227
"YER146W",401,293,248,196,2226,1802,801,650,222
"YER148W",1290,933,720,619,3558,3454,1348,1338,663
"YER150W",2373,1691,913,1182,13846,15944,3512,5938,387
"YER154W",896,549,356,259,1852,1765,466,340,1149
"YER157W",1162,846,700,490,1085,935,376,288,2346
"YER158W-A",10,2,3,2,32,35,13,16,156
"YER164W",1311,961,615,552,2433,2199,418,305,4347
"YER165W",6779,4316,2853,2225,26346,19888,4562,3288,1674
"YER166W",2783,1877,1067,915,2226,1947,334,245,4656
"YER167W",1171,773,650,613,1590,1463,472,461,2496
"YER169W",855,634,683,690,1251,1264,525,546,2331
"YER170W",188,162,78,61,724,693,142,168,618
"YER171W",1027,656,556,461,1246,1252,383,326,2277
"YER173W",437,276,248,193,266,300,137,111,1920
"YER175W-A",122,70,78,73,1,9,5,14,105
"YER176W",686,529,402,380,1029,1016,293,250,3306
"YER177W",9234,7061,3925,3862,61104,55907,14506,14569,744
"YER178W",6101,3784,2357,2225,20866,18474,6773,6399,1203
"YER179W",44,49,27,38,131,144,58,75,1037
"YER182W",336,236,186,199,1127,1312,369,462,675
"YER187W",51,27,17,23,42,42,12,19,366
"YER188W",76,48,37,36,49,61,7,21,660
"YFL057C",191,128,185,182,24,27,11,11,399
"YFL054C",253,160,134,143,266,277,52,55,1881
"YFL050C",607,383,651,529,55,58,100,97,2517
"YFL048C",1531,1100,714,519,3568,3346,737,793,1278
"YFL045C",4279,2701,1404,807,12321,9427,2057,1428,705
"YFL044C",672,455,274,265,2167,2150,499,534,846
"YFL042C",528,351,186,236,1726,1701,283,353,1965
"YFL039C",25280,15716,9208,7441,94427,85338,23366,18382,1377
"YFL038C",1535,1235,999,864,10109,9280,3759,3562,561
"YFL034C-B",410,314,215,175,1608,1585,498,598,918
"YFL034C-A",1168,927,1465,1018,2814,2630,2674,2378,630
"YFL033C",1660,1070,708,747,1601,1475,367,405,5253
"YFL029C",178,140,76,85,539,496,141,145,1047
"YFL028C",264,211,269,257,896,887,540,644,810
"YFL027C",622,451,835,578,303,299,246,289,1434
"YFL025C",1110,751,573,322,692,583,153,158,3030
"YFL024C",1031,559,841,671,609,593,169,118,2439
"YFL022C",2770,1666,996,879,11964,10060,2266,1626,1452
"YFL021C-A",11,15,4,8,4,5,7,11,795
"YFL020C",63,34,40,80,14,13,10,17,309
"YFL018C",2408,1866,1079,932,12096,12013,2439,2112,1440
"YFL017C",234,156,127,89,963,867,453,363,420
"YFL016C",2211,1684,389,432,11522,11104,662,755,1476
"YFL013C",657,569,314,326,1777,1694,552,537,2019
"YFL010C",1768,1196,662,551,18281,16281,3567,3082,576
"YFL003C",132,104,76,60,78,81,62,50,2577
"YFL002C",658,442,363,286,974,864,329,241,1761
"YFR003C",559,526,418,451,2978,3103,1234,1519,408
"YFR005C",501,278,406,304,322,322,155,181,1287
"YFR011C",514,394,342,205,2011,1962,658,584,453
"YFR014C",633,462,310,324,1902,1875,551,713,1281
"YFR015C",253,206,146,266,333,421,107,205,2067
"YFR016C",985,816,346,469,3337,3306,494,674,3642
"YFR017C",150,99,67,138,991,1082,331,883,528
"YFR018C",482,244,254,186,1040,888,458,364,1032
"YFR024C-A",1655,1289,830,673,7202,6585,1640,1568,1414
"YFR025C",646,435,425,323,1059,1017,413,401,948
"YFR026C",164,112,75,61,70,62,55,80,450
"YFR028C",855,541,471,361,1496,1353,527,410,1596
"YFR031C",961,713,546,379,682,642,172,188,3453
"YFR031C-A",10320,6086,7197,5447,55235,39995,24788,19974,852
"YFR032C-A",4675,3220,4327,2771,18170,16618,10657,10149,120
"YFR033C",1088,849,916,755,3674,4043,2782,2988,384
"YFR034C",432,229,169,152,2022,1717,629,574,879
"YFR037C",926,621,352,367,3808,3428,946,897,1614
"YFR039C",717,501,355,255,877,816,357,283,1473
"YFR041C",674,551,229,163,1723,1820,317,347,828
"YFR043C",262,159,175,146,678,636,359,438,654
"YFR044C",2980,1966,1047,882,9838,8561,2080,1797,1386
"YFR046C",154,132,89,85,240,270,79,160,1026
"YFR047C",1108,797,558,510,4212,3824,1417,1271,828
"YFR050C",2034,1599,779,595,7357,7221,1742,1616,741
"YFR051C",2471,1610,791,758,7328,6799,1560,1434,1581
"YFR053C",6511,6741,464,918,30980,40747,791,2101,1398
"YFR054C",34,24,24,14,0,0,4,4,519
"YFL055W",212,123,175,170,104,102,70,104,1617
"YFL053W",33,19,8,15,81,87,15,12,1716
"YFL052W",19,13,8,3,25,39,16,16,1338
"YFL049W",564,425,484,367,972,998,438,446,1812
"YFL047W",992,799,619,450,1136,1127,445,401,2085
"YFL046W",202,231,123,108,582,555,329,389,564
"YFL041W-A",98,62,75,83,17,15,37,56,132
"YFL041W",970,689,354,311,2647,2206,541,491,1809
"YFL037W",3164,1965,940,693,7890,6807,1258,891,1314
"YFL036W",2328,1753,773,679,3246,3171,295,222,3996
"YFL034W",791,608,401,363,1336,1196,305,279,3162
"YFL031W",7159,4817,6076,4920,9245,8115,90,74,909
"YFL030W",98,68,82,121,167,213,91,72,1098
"YFL026W",7405,4799,9753,5587,9148,8344,4009,3299,1236
"YFL023W",510,373,217,188,1207,1073,319,306,2331
"YFL021W",931,721,735,786,2581,2975,1649,1870,1473
"YFL017W-A",156,124,113,93,1193,1188,693,673,174
"YFL014W",39030,32339,32973,29429,247339,221771,121556,121583,270
"YFL012W-A",15,4,6,1,14,8,9,11,315
"YFL012W",27,13,7,10,57,50,15,10,387
"YFL011W",52,24,30,17,46,58,38,37,1581
"YFL010W-A",3,4,2,0,1,2,0,0,225
"YFL009W",1642,1155,783,579,2329,1906,673,679,2280
"YFL008W",1214,842,693,487,1570,1561,426,348,3618
"YFL007W",4212,2839,1262,1081,2870,2767,479,487,6372
"YFL005W",1311,930,835,534,4509,4383,1362,1251,588
"YFL004W",1321,939,493,346,2198,1815,447,331,2427
"YFL001W",390,283,260,208,797,735,337,310,1269
"YFR001W",286,256,224,177,1162,1140,576,540,555
"YFR002W",2130,1516,1311,883,2292,2191,828,677,2460
"YFR004W",1456,1199,560,435,6252,5970,1218,1153,861
"YFR006W",1045,743,625,519,2241,2264,798,831,1548
"YFR007W",294,238,182,169,698,790,271,251,1002
"YFR008W",276,246,221,203,881,963,378,464,606
"YFR009W",2025,1373,1383,1173,4582,4300,1892,1649,2199
"YFR010W",2071,1632,1179,1049,7082,7402,1873,1983,1440
"YFR010W-A",1,0,0,0,0,0,0,0,129
"YFR013W",914,611,411,344,1200,1198,306,280,2304
"YFR019W",2183,1297,962,831,1231,1195,313,304,6777
"YFR020W",177,118,154,102,69,76,8,9,639
"YFR021W",497,386,254,213,1047,1055,342,378,1443
"YFR022W",509,316,338,384,328,351,239,309,2142
"YFR023W",155,139,150,104,165,180,107,114,1776
"YFR027W",123,79,24,34,382,396,100,86,786
"YFR029W",518,379,260,260,645,716,252,247,1977
"YFR030W",952,595,559,553,400,367,152,186,3048
"YFR034W-A",161,97,91,70,486,388,267,217,228
"YFR038W",779,542,451,368,761,663,324,268,2502
"YFR040W",1665,1259,858,605,1839,2089,261,231,2949
"YFR042W",588,382,244,107,1157,938,270,256,543
"YFR045W",214,139,131,135,531,595,223,243,942
"YFR048W",500,404,310,258,770,741,256,250,1929
"YFR049W",423,375,270,246,2368,2374,901,1016,312
"YFR052W",1824,1308,694,534,6259,6823,1458,1507,765
"YFR055W",379,251,306,220,68,91,37,33,963
"YGL257C",700,381,434,240,336,318,211,119,1617
"YGL252C",1047,810,717,582,1571,1549,608,608,1707
"YGL251C",462,278,373,298,99,106,120,145,3656
"YGL246C",635,480,472,288,955,917,467,491,1104
"YGL242C",653,553,287,250,2753,2505,573,498,486
"YGL237C",326,217,219,257,1282,1227,617,791,738
"YGL236C",617,371,152,134,969,878,76,69,1950
"YGL231C",675,463,569,378,2717,2963,1483,1475,513
"YGL230C",28,24,34,22,87,78,53,39,384
"YGL229C",805,581,276,204,453,457,115,113,2397
"YGL226C-A",487,287,191,104,1528,1356,385,356,350
"YGL224C",450,293,258,185,855,855,279,266,783
"YGL223C",716,494,495,371,943,989,492,499,1194
"YGL222C",457,309,461,397,2422,2367,1576,1985,468
"YGL221C",1164,820,662,599,4287,4154,1577,1527,807
"YGL219C",812,566,399,348,1524,1727,652,720,1320
"YGL213C",644,401,433,303,1421,1368,565,514,1134
"YGL206C",13868,9406,6297,5688,27676,27575,6044,5656,4902
"YGL204C",724,537,382,229,684,729,319,301,246
"YGL203C",1037,834,519,480,2422,2404,784,754,2130
"YGL201C",1509,1075,564,463,2445,2251,544,420,2994
"YGL200C",1659,1017,717,513,6911,5850,1681,1318,552
"YGL199C",8,5,6,3,3,5,16,5,411
"YGL194C-A",430,300,204,116,596,664,214,257,183
"YGL194C",714,470,477,356,1151,1139,379,408,1299
"YGL193C",84,69,90,74,2,1,8,12,252
"YGL190C",1845,1429,1417,1146,1797,1970,1213,1400,1521
"YGL189C",6965,4198,5115,3747,42786,39406,25467,23172,300
"YGL187C",944,636,899,595,4380,3662,2525,2406,408
"YGL186C",1360,977,860,646,3388,3170,1011,862,1680
"YGL185C",351,298,287,233,975,957,421,411,1080
"YGL184C",53,49,54,33,131,134,59,88,1338
"YGL182C",9,5,11,3,26,25,7,10,264
"YGL179C",501,387,147,166,711,771,129,172,1623
"YGL176C",464,304,235,179,126,132,45,77,1605
"YGL175C",113,82,59,57,124,94,63,38,978
"YGL173C",6240,4714,2164,1893,7821,6946,1039,876,4527
"YGL167C",3941,2568,1384,1132,3991,3719,814,801,2793
"YGL165C",16,21,11,13,0,1,0,2,519
"YGL164C",281,228,236,230,740,764,348,427,1263
"YGL163C",853,591,355,319,1349,1263,378,292,2637
"YGL161C",718,580,529,484,1997,2154,828,915,873
"YGL154C",203,157,193,116,251,242,217,243,759
"YGL152C",6,5,10,4,7,10,3,6,618
"YGL150C",2768,1943,1124,956,2269,2360,520,570,4410
"YGL147C",7277,4339,6238,4022,32685,25957,16156,13121,516
"YGL146C",137,138,76,78,166,223,100,131,876
"YGL144C",474,323,190,137,233,187,89,76,1998
"YGL143C",363,302,147,129,736,741,158,145,1182
"YGL142C",930,617,565,350,869,777,225,265,1791
"YGL140C",2032,1367,1288,1035,1205,1135,245,197,3600
"YGL136C",346,212,291,219,284,237,105,155,903
"YGL131C",1103,708,712,600,434,496,241,258,4152
"YGL129C",871,566,321,247,1786,1626,409,355,1293
"YGL128C",169,112,114,85,462,523,198,177,792
"YGL127C",397,255,146,88,1238,1080,209,198,324
"YGL124C",629,472,491,408,699,748,311,333,1875
"YGL122C",1007,634,347,389,8588,8313,1531,1365,1518
"YGL121C",595,423,512,367,1444,1408,717,757,321
"YGL120C",1582,961,638,592,3482,2789,923,760,2244
"YGL112C",1167,753,488,416,1585,1576,499,367,1491
"YGL110C",614,473,428,359,735,654,364,352,1815
"YGL108C",183,197,213,176,613,772,372,446,363
"YGL107C",1051,695,560,347,1458,1375,295,255,1881
"YGL104C",458,345,369,320,685,737,245,372,1401
"YGL095C",833,684,710,445,1197,1267,431,563,1674
"YGL094C",1445,965,540,371,536,522,181,179,3288
"YGL091C",444,368,240,199,1716,1653,611,635,927
"YGL089C",16,1,5,9,10,2,4,8,303
"YGL087C",501,386,345,325,3290,3490,1280,1522,439
"YGL084C",1566,1006,766,455,2038,2098,414,337,1623
"YGL078C",1049,667,701,425,2834,2572,1016,725,1512
"YGL077C",2624,1739,1710,1040,3454,2928,1094,1046,1632
"YGL076C",15206,8256,11390,8448,69589,58217,33637,27436,1602
"YGL075C",305,209,160,98,319,254,124,98,1104
"YGL072C",148,131,218,174,53,44,201,187,300
"YGL070C",542,407,421,257,1704,1722,848,764,309
"YGL065C",716,486,340,205,1164,1182,372,303,1452
"YGL064C",369,243,196,130,797,811,211,167,1626
"YGL063C-A",34,11,25,19,6,12,7,5,90
"YGL061C",209,142,125,91,572,464,192,129,684
"YGL057C",367,212,233,123,651,569,290,277,804
"YGL056C",1016,776,527,516,2521,2618,822,823,1524
"YGL054C",1801,1291,1724,1031,5068,4642,2896,3101,357
"YGL049C",1393,1063,613,617,4843,4922,986,1003,2685
"YGL048C",2220,1800,777,694,7292,7705,1401,1541,1158
"YGL044C",508,378,424,311,2126,1962,922,957,831
"YGL040C",1710,1270,644,653,5741,5542,1101,1094,969
"YGL038C",1368,875,520,380,2288,1948,548,435,1383
"YGL037C",5258,4455,1847,2423,34622,40466,7723,11726,591
"YGL035C",733,523,424,452,3594,3501,1534,1417,1455
"YGL032C",305,202,499,269,1314,1164,1613,1453,204
"YGL031C",5576,3849,5074,3184,31246,25545,14750,12345,408
"YGL028C",2922,1933,3116,2161,6257,6230,3481,3293,1569
"YGL027C",950,657,308,206,2125,1683,314,238,2442
"YGL026C",3852,2471,1119,1052,17153,14288,2428,2143,2064
"YGL025C",267,210,133,113,1073,1127,385,422,1134
"YGL023C",901,582,422,369,2026,1799,450,360,1848
"YGL020C",583,417,350,257,1660,1750,687,663,648
"YGL018C",181,152,102,104,812,767,309,302,495
"YGL015C",10,1,2,6,12,6,4,7,333
"YGL013C",1675,1069,523,398,1559,1505,256,230,3147
"YGL011C",2202,1547,896,704,7716,8119,2092,2152,699
"YGL009C",1737,1005,556,458,4283,3267,848,737,2280
"YGL008C",81125,47968,38381,20811,129202,98753,25707,15401,2697
"YGL007C-A",783,354,411,198,162,187,434,309,27
"YGL005C",411,275,321,181,469,450,168,179,780
"YGL004C",345,264,203,224,607,666,301,418,1194
"YGL003C",492,288,228,220,707,749,276,315,1641
"YGL001C",1477,1002,746,523,3115,2868,801,745,990
"YGR001C",820,490,371,318,1988,1806,709,721,842
"YGR002C",597,423,330,331,1160,1155,354,363,1371
"YGR005C",570,403,397,305,2258,2277,719,816,1143
"YGR008C",1744,1664,626,898,12450,15032,2617,5861,195
"YGR009C",739,594,372,402,3743,3738,799,949,1896
"YGR015C",236,136,150,120,254,206,102,163,927
"YGR018C",8,0,3,2,19,21,8,0,270
"YGR020C",1152,747,773,543,3473,3611,1817,1632,297
"YGR024C",551,398,441,332,615,624,377,440,654
"YGR027C",6314,4080,5330,3831,25584,23463,14398,13388,267
"YGR030C",192,133,111,53,388,340,123,101,417
"YGR033C",1003,681,903,704,1536,1643,1205,1217,660
"YGR035C",21,10,12,2,36,46,14,23,291
"YGR036C",493,356,386,205,672,689,297,321,660
"YGR037C",2761,1694,720,471,12270,10967,2316,2123,204
"YGR043C",1641,1518,1306,1395,7447,8718,3018,3522,942
"YGR044C",450,321,522,535,790,879,759,892,843
"YGR045C",28,23,12,14,21,17,53,64,303
"YGR047C",710,599,389,301,814,799,216,176,3018
"YGR050C",44,33,27,28,80,75,77,103,297
"YGR053C",103,67,55,48,165,136,69,105,792
"YGR057C",385,265,296,189,253,183,147,149,669
"YGR061C",5794,3683,2942,2422,6747,6007,2004,1416,4017
"YGR062C",278,182,203,144,334,305,119,170,891
"YGR063C",375,330,189,144,2143,1662,609,583,249
"YGR065C",1180,808,989,668,1132,1044,512,423,1722
"YGR067C",132,50,60,46,126,122,59,80,2355
"YGR068C",585,395,414,378,565,505,306,347,1701
"YGR071C",783,529,693,447,418,444,215,254,2523
"YGR073C",76,62,44,30,0,0,0,2,312
"YGR075C",174,121,146,73,338,348,157,195,669
"YGR076C",254,223,111,101,1624,1695,365,369,414
"YGR077C",816,573,467,402,652,621,304,341,1710
"YGR078C",449,333,267,245,2540,2329,1462,1340,540
"YGR081C",467,344,339,256,1522,1396,737,699,573
"YGR083C",1503,969,622,542,3643,3596,994,956,1896
"YGR084C",676,492,225,227,1930,1939,395,386,960
"YGR085C",8994,5568,7744,5492,41228,33670,19233,15667,465
"YGR086C",9357,7290,5113,5560,44041,42569,17819,18739,960
"YGR087C",41,70,52,97,494,292,130,219,1632
"YGR095C",262,201,235,186,940,943,511,464,612
"YGR098C",1484,849,668,408,388,333,63,57,4833
